sec,gate131,state135,mode,branch,phase,target_parity,target_wb,target_wc
0,643,,UNKNOWN,59,48,0,32777,32767
1,643,35041,OFF,59,60,0,32777,32767
2,643,35041,OFF,54,3,1,65025,7
3,643,35041,OFF,54,9,1,65025,7
4,643,35041,OFF,54,19,1,65025,7
5,643,35041,OFF,59,26,0,32777,32767
6,643,35041,OFF,54,33,1,65025,7
7,643,35041,OFF,54,45,1,65025,7
8,643,35041,OFF,59,50,0,32777,32767
9,643,35041,OFF,59,60,0,32777,32767
10,643,35041,OFF,54,1,1,65025,7
11,643,35041,OFF,59,10,0,32777,32767
12,643,35041,OFF,59,18,0,32777,32767
13,643,35041,OFF,59,26,0,32777,32767
14,643,35041,OFF,59,36,0,32777,32767
15,643,35041,OFF,54,43,1,65025,7
16,643,35041,OFF,59,50,0,32777,32767
17,643,35041,OFF,54,57,1,65025,7
18,643,35041,OFF,59,2,0,32777,32767
19,643,35041,OFF,59,12,0,32777,32767
20,643,35041,OFF,59,18,0,32777,32767
21,643,35041,OFF,54,27,1,65025,7
22,643,35041,OFF,59,34,0,32777,32767
23,643,35041,OFF,59,42,0,32777,32767
24,3584,16610,ACC_ARMED,59,50,0,32777,32767
25,640,18658,UNKNOWN,59,60,0,32777,32767
26,656,16610,TRANSITION,59,2,0,32777,32767
27,656,16610,TRANSITION,54,9,1,65025,7
28,656,16610,TRANSITION,59,20,0,32777,32767
29,656,16610,TRANSITION,59,26,0,32777,32767
30,640,24802,MANAGED,59,34,0,32777,32767
31,640,24802,MANAGED,54,41,1,65025,7
32,640,24802,MANAGED,54,51,1,65025,7
33,640,24802,MANAGED,59,58,0,32777,32767
34,640,24802,MANAGED,59,2,0,32777,32767
35,640,24802,MANAGED,59,10,0,32777,32767
36,640,24802,MANAGED,59,20,0,32777,32767
37,640,24802,MANAGED,54,27,1,65025,7
38,640,24802,MANAGED,59,36,0,32777,32767
39,640,24802,MANAGED,59,42,0,32777,32767
40,640,24802,MANAGED,59,52,0,32777,32767
41,640,24802,MANAGED,54,59,1,65025,7
42,656,16610,TRANSITION,59,4,0,32777,32767
43,656,16610,TRANSITION,54,9,1,65025,7
44,640,24802,MANAGED,59,20,0,32777,32767
45,640,24802,MANAGED,59,26,0,32777,32767
46,640,24802,MANAGED,54,33,1,65025,7
47,640,24802,MANAGED,54,41,1,65025,7
48,640,24802,MANAGED,59,52,0,32777,32767
49,640,24802,MANAGED,59,58,0,32777,32767
50,640,24802,MANAGED,54,3,1,65025,7
